transaction_id,date,vendor,amount,source
TXN0158,2026-07-23,Vertex Systems,52486.86,Ledger
TXN0159,2026-07-24,Prime Consulting,104432.79,Ledger
TXN0160,2026-07-19,Acme Supplies,142584.4,Ledger
TXN0161,2026-08-26,Nova Retail,74732.01,Ledger
TXN0162,2026-07-21,BlueSky Media,82638.04,Ledger
TXN0163,2026-08-22,Orion Energy,99625.16,Ledger
TXN0164,2026-08-19,Acme Supplies,82244.73,Ledger
TXN0165,2026-08-09,BlueSky Media,46782.56,Ledger
TXN0166,2026-08-15,XYZ Services,34348.67,Ledger
TXN0168,2026-07-09,Orion Energy,94085.06,Ledger
TXN0169,2026-07-06,Nova Retail,110228.77,Ledger
TXN0171,2026-07-09,BlueSky Media,144037.64,Ledger
TXN0172,2026-08-19,XYZ Services,91083.89,Ledger
TXN0173,2026-08-20,Prime Consulting,120291.65,Ledger
TXN0174,2026-08-28,Orion Energy,41740.59,Ledger
TXN0175,2026-08-06,BlueSky Media,18782.13,Ledger
TXN0176,2026-08-06,Vertex Systems,29837.24,Ledger
TXN0177,2026-08-05,XYZ Services,88002.42,Ledger
TXN0178,2026-07-29,Prime Consulting,80781.61,Ledger
TXN0179,2026-08-17,BlueSky Media,126829.0,Ledger
TXN0180,2026-07-31,Vertex Systems,91941.05,Ledger
TXN0181,2026-08-27,XYZ Services,22361.37,Ledger
TXN0183,2026-08-10,Prime Consulting,65282.55,Ledger
TXN0184,2026-08-18,Orion Energy,102328.55,Ledger
TXN0185,2026-07-21,BlueSky Media,135263.15,Ledger
TXN0186,2026-08-17,Summit Foods,44227.57,Ledger
TXN0187,2026-07-23,BlueSky Media,50593.8,Ledger
TXN0188,2026-07-10,Global Logistics,26428.59,Ledger
TXN0190,2026-07-24,BlueSky Media,110804.43,Ledger
TXN0191,2026-08-04,XYZ Services,140740.3,Ledger
TXN0192,2026-08-18,Global Logistics,74508.59,Ledger
TXN0193,2026-07-24,XYZ Services,148061.57,Ledger
TXN0194,2026-08-14,ABC Technologies,142923.23,Ledger
TXN0195,2026-07-08,Prime Consulting,136160.38,Ledger
TXN0196,2026-08-09,Summit Foods,22678.64,Ledger
TXN0197,2026-08-06,Prime Consulting,104483.97,Ledger
TXN0198,2026-07-01,Vertex Systems,70876.1,Ledger
TXN0199,2026-08-21,BlueSky Media,47827.06,Ledger
TXN0200,2026-07-29,Orion Energy,69135.55,Ledger
TXN0201,2026-07-19,ABC Technologies,138174.07,Ledger
TXN0202,2026-08-18,BlueSky Media,21035.32,Ledger
TXN0203,2026-08-31,Global Logistics,132484.0,Ledger
TXN0204,2026-07-18,Nova Retail,126350.0,Ledger
TXN0205,2026-07-07,ABC Technologies,149870.19,Ledger
TXN0206,2026-08-11,ABC Technologies,99268.13,Ledger
TXN0207,2026-07-06,Nova Retail,135069.84,Ledger
TXN0208,2026-07-02,Summit Foods,39920.07,Ledger
TXN0209,2026-07-09,Prime Consulting,117631.35,Ledger
TXN0210,2026-07-12,Summit Foods,137042.54,Ledger
TXN0211,2026-08-10,Acme Supplies,9922.42,Ledger
TXN0212,2026-07-01,ABC Technologies,12490.4,Ledger
TXN0213,2026-08-07,Summit Foods,121214.86,Ledger
TXN0214,2026-07-15,Orion Energy,128164.28,Ledger
TXN0215,2026-07-04,Acme Supplies,121139.76,Ledger
TXN0216,2026-08-27,Orion Energy,116955.72,Ledger
TXN0217,2026-08-13,Summit Foods,124073.05,Ledger
TXN0218,2026-07-03,Prime Consulting,34258.41,Ledger
TXN0219,2026-07-08,XYZ Services,78156.99,Ledger
TXN0220,2026-08-16,Vertex Systems,96351.72,Ledger
TXN0221,2026-08-22,ABC Technologies,27505.88,Ledger
TXN0222,2026-08-15,Summit Foods,32991.02,Ledger
TXN0223,2026-07-17,ABC Technologies,107936.18,Ledger
TXN0224,2026-08-30,Vertex Systems,93673.82,Ledger
TXN0226,2026-07-03,ABC Technologies,133201.13,Ledger
TXN0227,2026-08-13,Prime Consulting,29100.13,Ledger
TXN0228,2026-07-06,Global Logistics,31612.32,Ledger
TXN0229,2026-08-30,Global Logistics,71491.29,Ledger
TXN0230,2026-08-18,Vertex Systems,97279.21,Ledger
TXN0231,2026-08-05,Summit Foods,26043.89,Ledger
TXN0232,2026-08-28,Acme Supplies,48694.68,Ledger
TXN0233,2026-08-05,Prime Consulting,106467.51,Ledger
TXN0234,2026-08-10,Acme Supplies,141386.19,Ledger
TXN0235,2026-07-10,XYZ Services,78711.15,Ledger
TXN0236,2026-07-26,Nova Retail,73754.47,Ledger
TXN0237,2026-07-08,XYZ Services,24443.72,Ledger
TXN0238,2026-07-18,Orion Energy,49182.17,Ledger
TXN0239,2026-07-27,Nova Retail,93593.19,Ledger
TXN0240,2026-08-09,Prime Consulting,64712.58,Ledger
TXN0241,2026-07-26,XYZ Services,36556.14,Ledger
TXN0242,2026-08-06,Orion Energy,50970.93,Ledger
TXN0243,2026-07-03,Orion Energy,65668.01,Ledger
TXN0244,2026-07-30,Prime Consulting,37710.97,Ledger
TXN0245,2026-08-05,ABC Technologies,87036.93,Ledger
TXN0246,2026-08-13,Vertex Systems,98952.53,Ledger
TXN0247,2026-08-10,Vertex Systems,50851.05,Ledger
TXN0248,2026-08-18,Acme Supplies,84625.94,Ledger
TXN0249,2026-07-27,XYZ Services,95771.81,Ledger
TXN0250,2026-07-23,Vertex Systems,79347.19,Ledger
TXN0162,2026-07-21,BlueSky Media,82638.04,Ledger
TXN0208,2026-07-02,Summit Foods,39920.07,Ledger
TXN0036,2026-07-14,Orion Energy,64236.65,Ledger
TXN0200,2026-07-29,Orion Energy,69135.55,Ledger
TXN0246,2026-08-13,Vertex Systems,98952.53,Ledger
LEDGER_ONLY_01,2026-07-21,ABC Technologies,76756.37,Ledger
LEDGER_ONLY_02,2026-07-03,Prime Consulting,49586.06,Ledger
LEDGER_ONLY_03,2026-08-26,XYZ Services,22188.03,Ledger
LEDGER_ONLY_04,2026-07-16,Orion Energy,9241.66,Ledger
LEDGER_ONLY_05,2026-08-09,Acme Supplies,32745.64,Ledger
LEDGER_ONLY_06,2026-07-13,Prime Consulting,60712.29,Ledger
